idi,name,birth_year,birth_month,birth_day,gender,registration_id,athletic_score,leadership_score,talent_score,gpa,class_assigned,selected_activity,grade_level,talent,olympiad_scores,subject_specialization,fitness_score,sports_category,subject,mentor_grade,mentor_class,judge
1,Kenneth Brown,2010,6,2,Male,10001,3.2,2.5,3.4,9.9,8C,Scholar,8,,87-68-64,mathematics,,,,,,
2,Karen Johnson,2012,11,5,Female,10002,2.4,9.1,8.7,7.1,6C,Talent,6,drama,,,,,,,,
3,Lisa Anderson,2011,10,5,Female,10003,5.2,0.9,7.2,8.9,7A,Scholar,7,,84-54-61,mathematics,,,,,,
4,Kenneth Taylor,2008,5,23,Male,10004,6.9,7.8,6.0,6.4,10C,Scholar,10,,64-81-55,mathematics,,,,,,
5,Jessica Martin,2006,6,23,Female,10005,5.3,8.3,2.0,9.8,12C,Talent,12,dance,,,,,,,,
6,Barbara Johnson,2011,6,28,Female,10006,0.9,0.7,2.7,8.3,7B,Talent,7,drama,,,,,,,,
7,David Moore,2009,1,5,Male,10007,5.0,5.9,5.7,9.6,9B,Sports,9,,,,68.8,cricket,,,,
8,Michael Gonzalez,2006,2,22,Male,10008,2.6,6.6,7.1,7.7,12C,Sports,12,,,,94.0,cricket,,,,
9,Linda Smith,2010,1,23,Female,10009,7.4,0.1,8.5,8.2,8A,Talent,8,singing,,,,,,,,
10,Elizabeth Miller,2012,12,22,Female,10010,7.6,8.0,5.2,8.9,6B,Scholar,6,,70-52-80,science,,,,,,
11,Elizabeth Martin,2011,5,5,Female,10011,6.8,2.6,5.5,6.2,7C,Talent,7,singing,,,,,,,,
12,Jessica Hernandez,2012,8,17,Female,10012,4.7,4.0,0.6,9.1,6A,Scholar,6,,75-59-94,mathematics,,,,,,
13,Robert Johnson,2008,3,22,Male,10013,1.6,1.0,6.7,6.3,10A,Sports,10,,,,90.5,cricket,,,,
14,Anthony Brown,2008,7,4,Male,10014,1.0,4.9,3.0,6.4,10C,Talent,10,dance,,,,,,,,
15,George Martin,2006,10,21,Male,10015,6.6,6.3,3.6,9.2,12C,Sports,12,,,,68.5,cricket,,,,
16,Linda Martinez,2012,10,8,Female,10016,2.2,0.4,6.6,6.8,6B,Scholar,6,,53-62-77,mathematics,,,,,,
17,Anthony Gonzalez,2006,2,18,Male,10017,7.9,3.1,8.1,6.5,12C,Scholar,12,,86-76-51,mathematics,,,,,,
18,Jessica Miller,2007,5,17,Female,10018,1.0,0.7,8.8,6.5,11B,Talent,11,singing,,,,,,,,
19,Christine Smith,2006,10,6,Female,10019,1.2,6.9,7.0,10.0,12A,Scholar,12,,61-82-62,science,,,,,,
20,Thomas Taylor,2010,7,10,Male,10020,2.4,3.5,0.6,7.4,8B,Talent,8,singing,,,,,,,,
21,Charles Smith,2006,2,14,Male,10021,3.0,2.2,9.2,7.9,12A,Scholar,12,,67-84-99,science,,,,,,
22,Christine Miller,2011,4,19,Female,10022,6.8,5.2,8.8,9.2,7B,Sports,7,,,,68.3,chess,,,,
23,Mark Johnson,2012,7,20,Male,10023,9.0,7.9,7.8,8.2,6A,Talent,6,singing,,,,,,,,
24,Linda Jackson,2006,3,22,Female,10024,1.5,5.7,3.3,8.9,12B,Scholar,12,,95-64-73,mathematics,,,,,,
25,James Rodriguez,2009,5,13,Male,10025,4.7,2.0,5.3,9.6,9B,Talent,9,drama,,,,,,,,
26,Paul Williams,2007,9,10,Male,10026,0.8,4.0,7.4,7.4,11A,Sports,11,,,,90.5,chess,,,,
27,Susan Brown,2007,6,10,Female,10027,1.3,0.2,9.2,9.6,11B,Sports,11,,,,57.7,cricket,,,,
